Author Name,Author Role,Author URL,Author Outlet Name,Author Email,Vertical/Niche,Why They Are a Fit,Suggested Pitch Angle,Suggested Kit,Priority Tier,Competitor Proof,Suggested Promo,Contact Path,Author Twitter Handle,Author LinkedIn,Outreach Status
Steven Rinella,Host,https://www.themeateater.com,The MeatEater Podcast,themeateaterpodcast@themeateater.com,Hunting / fishing / conservation,Remote backcountry; official podcast ad infrastructure,Ouch Pouch field injuries + Mayday backcountry travel illness,Ouch Pouch; Mayday,3,White space,$25 off,themeateaterpodcast@themeateater.com; themeateater.com/pages/advertise-with-us,@stevenrinella,,,
Clay & Rachelle Croft,Founders / Hosts,https://www.xoverland.com,Expedition Overland / XOVERLAND Podcast,,Overland travel,Partnership form; adventure checklist includes medical,Mayday — altitude travelers stomach infections abroad,Mayday,3,—,$30 off,xoverland.com/contact → Partnership & Sponsors,@expeditionrover,,,
Kara & Nate Buchanan,Travel vloggers,https://karaandnate.com,Kara and Nate,,Travel / van life,100+ country travel audience,Mayday — kit we wish we had on the road,Mayday,3,—,10% off,karaandnate.com / YouTube business,@karaandnate,,,
Dangerous Animals (MeatEater),Podcast,https://www.themeateater.com/listen/dangerous-animals,Dangerous Animals Podcast,themeateaterpodcast@themeateater.com,Wildlife / outdoor safety,Animal encounter + remote injury themes,Ouch Pouch snake bite wound allergy in the field,Ouch Pouch,3,—,$25 off,themeateaterpodcast@themeateater.com,@MeatEater,,,
Salty Cracker,YouTube commentator,https://www.youtube.com/@SaltyCracker,Salty Cracker,,Conservative commentary,26x TWC YouTube sponsor,Just in Case prepper-culture co-branded LP,Just in Case,3,TWC YouTube,$30 off,YouTube business email,,,
SkinnyMedic,Paramedic / YouTube educator,https://www.youtube.com/channel/UCbhaasx1vaOf6jpYQ6FMoKw,SkinnyMedic,,Tactical trauma / IFAK,Paramedic channel + Medical Gear Outfitters; trauma gear buyers,Ouch Pouch — Rx beyond IFAK bandages and tourniquets,Ouch Pouch,4,White space (trauma retail adj.),10-15% affiliate or $1.5-3K flat,YouTube business email; medicalgearoutfitters.com,@SkinnyMedic,,,
PrepMedic,Paramedic / YouTube educator,https://www.youtube.com/user/Asystole28,PrepMedic,,IFAK / stop-the-bleed,1M+ view IFAK videos; EMS credibility; Civilian Medical Podcast guest,Ouch Pouch + Panic Pack when EMS is delayed,Ouch Pouch; Panic Pack,4,White space,10% affiliate + product send,YouTube business email,,,
The Prepared Wanderer,YouTube host,https://www.youtube.com/@ThePreparedWanderer,The Prepared Wanderer,,Bushcraft / outdoor preparedness,~80K subs; gear-focused survival; remote delayed care,Panic Pack for backcountry hours-from-help episodes,Panic Pack,4,—,$25 off + affiliate,YouTube business email,,,
Dr. Joe & Amy Alton,Physicians / authors,https://www.doomandbloom.net,Doom and Bloom / Survival Medicine Podcast,,Survival medicine authority,Survival Medicine Handbook; 1500+ articles; grid-down medicine institution,Just in Case + Panic Pack — physician stewardship angle,Just in Case; Panic Pack,4,Category thought leader,$30 off; co-branded LP,doomandbloom.net contact / podcast,@preppershow,,,
Homestead HQ,Podcast hosts,https://homesteadhq.com,Homestead HQ Podcast,,Homestead / self-reliance,Launched medical/first-aid store on show; preparedness commerce,Just in Case household medicine cabinet for homesteaders,Just in Case,4,White space,10% + store bundle mention,homesteadhq.com / podcast contact,,,
Jill Winger,Author / podcaster,https://www.theprairiehomestead.com,The Prairie Homestead,,Homestead / natural living,Homestead first-aid kit episode; practical health self-reliance,Just in Case — medicine cabinet before urgent care wait,Just in Case,4,—,$25 off first kit,theprairiehomestead.com contact,,,
Civilian Medical Podcast,Podcast network,https://www.firearmsradio.net/shows/civilian-medical-podcast/,Civilian Medical Podcast,,Medical / firearms crossover,PrepMedic guests; tactical med training audience,Ouch Pouch — field trauma plus infection scenarios,Ouch Pouch,4,—,10% affiliate,Firearms Radio Network advertising,,,
Black Scout Survival,YouTube host,https://www.youtube.com/@BlackScoutSurvival,Black Scout Survival,,Tactical / EDC survival,Former military; EDC survival gear recommendations,Ouch Pouch — EDC medical upgrade beyond boo-boo kit,Ouch Pouch,4,—,$25 off or affiliate,YouTube business email,@BlackScoutSurvival,,,
Doug & Stacy,YouTube hosts,https://www.youtube.com/@OFFGRIDWITHDOUGANDSTACY,Off Grid with Doug & Stacy,,Homestead / off-grid,Large homestead audience; health self-reliance themes,Just in Case — rural family emergency Rx,Just in Case,4,—,$25-30 off,YouTube business email,,,
Jess Sowards,YouTube host,https://www.youtube.com/@RootsandRefugeFarm,Roots and Refuge Farm,,Homestead / family farm,Family homestead; practical self-sufficiency; mom-skewing,Just in Case — stock cabinet before sick season,Just in Case,4,—,10% affiliate,YouTube / rootsandrefuge.com contact,,,
Marc & Tricia,RV travel vloggers,https://www.youtube.com/@KeepYourDaydream,Keep Your Daydream,,RV / full-time travel,Road-trip illness; pharmacy-on-the-road pain point,Mayday — travel stomach and URI meds while RVing,Mayday,4,—,10% off,YouTube business email,@KYD_VanLife,,,
Eamon & Bec,Van life creators,https://www.youtube.com/@EamonandBec,Eamon & Bec,,Van life / international travel,Global van travel; border and remote health friction,Mayday — pack before crossing borders,Mayday,4,—,10% affiliate,YouTube / eamonandbec.com business,@EamonandBec,,,
Jason Hunt,CEO / educator,https://practicalpreppers.com,Practical Preppers,,Preparedness engineering,Engineering-minded prep; medical resilience stack,Panic Pack — grid-down medical layer,Panic Pack,4,Category peer (Jase),$30 off,practicalpreppers.com contact,,,
Jake Drumm,Wilderness medicine trainer,https://www.offgridmedic.com,Off Grid Medic,,Wilderness / grid-down medicine,Grid-down medicine trainer; AoM podcast expert,Ouch Pouch + Panic Pack after trauma training,Ouch Pouch; Panic Pack,4,AoM podcast feature,15% off + training bundle copy,offgridmedic.com contact,,,
The Casual Preppers,Podcast co-hosts,https://www.thecasualpreppers.com,The Casual Preppers Podcast,,Accessible preparedness,Casual prep entry; less polarized than Tier 1 talk,Just in Case — approachable household emergency kit,Just in Case,4,—,$25 off,thecasualpreppers.com sponsor page,@CasualPreppers,,,
