Rank,Site Name,Site URL,Type,Popularity (1-5),Fit (1-5),Lead Kit,Suggested Promo,Primary Email,Phone,Contact / Advertise URL,Affiliate Program URL,Competitor Proof,Pitch Angle,Outreach Status,Notes
11,Prepared Bee,https://preparedbee.com,Prep store,3,4,Just in Case; Panic Pack,10% affiliate; 30-day cookie,support@preparedbee.com,888-700-7036,https://preparedbee.com/pages/contact,https://affiliate.preparedbee.com,,Emergency preparedness retailer — kit bundles,,EverCreative LLC; Orlando FL
12,Survivorpedia,https://survivorpedia.com,SEO prep content,3,4,Just in Case; Ouch Pouch,Sponsored content + display,advertise@survivorpedia.com,,https://survivorpedia.com/advertise/,,High-intent survival keyword traffic,Sponsored gear review — brand-safe outdoor prep,,70% male US audience per media kit
13,Modern Survival Blog,https://modernsurvivalblog.com,Blog,3,4,Just in Case,Sponsored article,,,https://modernsurvivalblog.com/advertise/,,Long-running prep/self-reliance blog,Lower controversy than talk-radio tier,,Contact form only — Ken Jorgustin
14,Off The Grid News,https://www.offthegridnews.com,Newsletter + site,3,3,Just in Case; Panic Pack,Newsletter sponsorship,info@offthegridnews.com,,https://www.offthegridnews.com/advertise-with-us/,,Weekly off-grid prep newsletter,Off-grid medical readiness for rural readers,,900 W Main St Thomson IL
15,More Prepared,https://moreprepared.com,Emergency kit store,3,3,Just in Case,Fundraiser 20% or affiliate,info@moreprepared.com,888-733-7245,https://moreprepared.com/pages/affiliate-program,,Sells emergency kits; school/org fundraisers,Co-marketing with kit retailer,,affiliates@moreprepared.com (program updating)
16,Prepper.com,https://prepper.com,Prep content,3,3,Just in Case,Partnership / sponsored,prepper.com/contact,,https://prepper.com/advertise/,,Broad prep Q&A audience,Prep-relevant product partnership,,Contact form on advertise page
17,Off Grid Medic,https://www.offgridmedic.com,Training + content,2,5,Ouch Pouch; Panic Pack,15% off + training bundle,,,https://www.offgridmedic.com,,AoM grid-down medicine expert,Wilderness medicine trainer — post-trauma Rx layer,,Smaller reach; very high intent
18,Fieldcraft Survival,https://fieldcraftsurvival.com,Tactical prep brand,3,4,Ouch Pouch; Panic Pack,15-20% off,info@fieldcraftsurvival.com,864-915-1855,https://fieldcraftsurvival.com,,Mike Glover special-ops credibility,Field trauma + off-grid training medical stack,,Also on podcast influencer list
19,Off The Grid Prep,https://offthegridprep.com,Prep blog,2,3,Just in Case,10% affiliate,webadmin@offthegridprep.com,,https://offthegridprep.com/affiliate-disclosure/,,Homestead/prep affiliate site,Homestead medical self-reliance angle,,Amazon Associates participant
20,Canadian Preparedness,https://canadianpreparedness.com,Prep store,3,2,Panic Pack,Jase partner model — US paused,,833-384-PREP,https://canadianpreparedness.com/pages/contact-us/,https://canadianpreparedness.com/pages/jase-case-emergency-medications,Jase co-branded LP on site,Deprioritize until US orders resume,,Currently not accepting USA orders
